SMILES,KELAS
CCCCCCCCCCCC(=O)OCCOCC(C1C(C(CO1)OCCO)OCCO)OCCO,1
C(C(C(C(C(C=O)O)O)O)O)O.C(C(C(C(C(=O)CO)O)O)O)O,1
CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,1
CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,1
C(C1C(C(C(C(O1)OC2C(OC(C(C2O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])OC3C(C(C(C(O3)CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],1
COCCOCCOCCOC,1
CCCCOC(=O)C(=C)C#N,1
C=CN1CCCCCC1=O,1
CO[Si](CCCNCCN)(OC)OC,1
C=CN1CCCC1=O.II,1
[OH-].[O-]P(=O)([O-])[O-].[O-]P(=O)([O-])[O-].[O-]P(=O)([O-])[O-].[Ca+2].[Ca+2].[Ca+2].[Ca+2].[Ca+2],1
CC(=C)C(=O)OCC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)OCC(COC(=O)C(=C)C)O)O,1
[OH-].[OH-].[Ca+2],1
C(C1C(C(C(C(O1)OCC(C(C(C(CO)O)O)O)O)O)O)O)O,1
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,1
CC(=O)O.CC(=O)O.C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl,1
CCCCCCC=CCCCCCCCC(=O)NCCO,1
C1=CC(=CC=C1C(=O)O)C(=O)O.C(CO)O,1
CC(C(C(=O)O)N)OC1C(C(C(C(O1)COC2(CC(C(C(O2)C(C(CO)O)O)NC(=O)CNC(=O)OCCOC)O)C(=O)O)O)O)NC(=O)C,1
CC(=O)O.CC(=O)O.C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl,1
C(COCCOCCOCCOCCO)O,1
C[Si]1(O[Si](O[Si](O1)(C)C)(C)C)C,1
C[Si]1(O[Si](O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)(C)C)C,1
CCCCCCCCCCCCOCCO,1
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)O.C=O.C1CO1,1
CC(=C)C(=O)OCCOCCOCCOCCOC(=O)C(=C)C,1
C[Si]1(O[Si](O[Si](O[Si](O1)(C)C=C)(C)C=C)(C)C=C)C=C,1
C[Si](C)(C=C)O[Si](C)(C)C=C,1
C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,1
CCCCCCCCCCCCOCCOCCOCCOCCO,1
O=[Zr]=O,1
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,1
C=O.C(=O)(N)N,1
CC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)OC)O)O)OC4C(C(C(C(O4)CO)OC)O)OCCO)O)O)O)O,1
CCC(C)CCC(C)(CC)O,1
C=CN,1
[F-].[F-].[F-].[F-].[Sn+4],1
CCC[N+](C)(C)CC[N+](C)(C)CCOC.[Cl-].[Cl-],1
CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,1
CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O.C1C(O1)CCl,1
CCCCCCCCC1C(O1)CCCCCCCCCCCC(=O)O,1
C(C1C(C(C(C(O1)OCC(C(C(C(CO)O)O)O)O)O)O)O)O,1
COC1=CC=CC(=C1O)CC(CS(=O)(=O)[O-])OC2=C(C=C(C=C2)CCCS(=O)(=O)[O-])OC.[Na+].[Na+],1
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,1
CCCCCCCCCCCC(=O)OCCOCC(C1C(C(CO1)OCCO)OCCO)OCCO,1
C(C1C(C(C(C(O1)OC2C(OC(C(C2O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])OC3C(C(C(C(O3)CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],1
C=CN1C2=CC=CC=C2C3=CC=CC=C31,1
C=CC(=O)[O-].C=CC(=O)[O-].[Zn+2],1
O.O.[O-]S(=O)(=O)[O-].[Ca+2],1
C=CC(=O)OCCOC(=O)C=C,1
CC(OC(=O)C)OC(=O)C,1
CC1=CC(=CC(=C1O)C(C)(C)C)CCC(=O)OCCOCCOCCOC(=O)CCC2=CC(=C(C(=C2)C)O)C(C)(C)C,1
CCCCCCCCCCCCCCCC(=O)OCCO,1
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,1
CCCCCCCCCCCCOCCOCCOCCOCCOCCO,1
CN(C)CCCCCCN(C)C.C(CBr)CBr,1
CCCCCCCCCCCC(=O)OCCO,1
CCCCCCCCCCCCCOCCO,1
CCOCC1C(C(C(C(O1)OC)OCC)OCC)OC2C(C(C(C(O2)CO)OC)O)O,1
CCC(C)C.CCC(CC(C)C1=CC=CC=C1)C2=CC=C(C=C2)C[N+](C)(C)C.N.[Cl-],1
C(CNCCNCCNCCN)N.Cl,1
C=CCOC(=O)OCCOCCOC(=O)OCC=C,1
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCO,1
C=CC1=CC=CC=C1.C1=CC(=O)OC1=O,1
COC=C.C1=CC(=O)OC1=O,1
CC(C)(C1=CC=C(C=C1)OCC(COC(=O)C=C)O)C2=CC=C(C=C2)OCC(COC(=O)C=C)O,1
CC(C)(C)C1=CC=C(C=C1)O.C=O,1
C=CC=C.C=CC1=CC=CC=C1,1
OP(=O)(O)O.O1OP2OOP1O2,1
COC1=CC=CC(=C1O)CC(CS(=O)(=O)O)OC2=C(C=C(C=C2)CCCS(=O)(=O)O)OC,1
C=CC=C.C=CC#N.C=CC1=CC=CC=C1,1
C=O.C1=CC=C(C=C1)N=C=O,1
CC(C(C(=O)O)N)OC1C(C(C(C(O1)COC2(CC(C(C(O2)C(C(CO)O)O)NC(=O)CNC(=O)OCCOC)O)C(=O)O)O)O)NC(=O)C,1
CC(=O)OCC1C(C(C(C(O1)O)OC(=O)C)O)O,1
COC1=C(C=C2C(C(C(CC2=C1)CO)CO)C3=CC(=C(C=C3)O)OC)O,1
CCCCCCCCOCCO,1
CC(C)[Si](C(C)C)(O[Si](C(C)C)(C(C)C)Cl)Cl,1
C=CC(=O)OCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,1
CC1=CC(=C(C(=C1)N2N=C3C=CC=CC3=N2)O)CC(C)C[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C,1
CCCCCCCCCCCCOCCOCCOCCO,1
C[Si]1(O[Si](O[Si](O1)(C)CCC(F)(F)F)(C)CCC(F)(F)F)CCC(F)(F)F,1
CO[Si](C)(C)C1=CC=CC=C1,1
O.[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Ca+2].[Ca+2],1
CC(C)COC(=O)C(=C)C#N,1
CCCCCCCCCCOCCO,1
CCCCCCCCOC(=O)C(=C)C#N,1
CCCCCCCCCCOCCOCCOCCOCCO,1
C=CC(=O)[O-],1
CC(=O)OC=C.C=CCl,1
CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O.C=CC(=O)O.C1C(O1)CCl,1
CCCCO.CC(CO)O.C(CO)O,1
[O-][Si](=O)[O-].[O-][Si](=O)[O-].[O-][Si](=O)[O-].[O-][Si](=O)[O-].[O-][Si](=O)[O-].[Al+3].[Al+3].[Ca+2].[Ca+2],1
[O-2].[Ca+2],1
C=CCl.C=C(Cl)Cl,1
C=CC#N.C=CC1=CC=CC=C1,1
COC(=O)NC1C(C(C(OC1OC2C(OC(C(C2O)N)OC3C(OC(C(C3O)N)O)CO)CO)CO)OC4C(C(C(C(O4)CO)OC5C(C(C(C(O5)CO)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)CO)OC9C(C(C(C(O9)CO)O)O)N)O)N)O)N)O)N)O)N)O)N)O,1
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,1
C=C.C=CC(=O)O,1
CC(=O)NC1=C2C(=C(C=C1)S(=O)(=O)[O-])C=C(C(=C2O)N=NC3=CC=CC=C3)S(=O)(=O)[O-].[Na+].[Na+],1
CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)C4(CC)OC(=O)CNC(=O)COCCOCC(COCCOCC(=O)NCC(=O)OC5(C6=C(COC5=O)C(=O)N7CC8=C(C9=C(C=CC(=C9)OC(=O)N3CCC(CC3)N3CCCCC3)N=C8C7=C6)CC)CC)(COCCOCC(=O)NCC(=O)OC3(C4=C(COC3=O)C(=O)N3CC5=C(C6=C(C=CC(=C6)OC(=O)N6CCC(CC6)N6CCCCC6)N=C5C3=C4)CC)CC)COCCOCC(=O)NCC(=O)OC3(C4=C(COC3=O)C(=O)N3CC5=C(C6=C(C=CC(=C6)OC(=O)N6CCC(CC6)N6CCCCC6)N=C5C3=C4)CC)CC)C2=NC2=C1C=C(C=C2)OC(=O)N1CCC(CC1)N1CCCCC1,1
C=CC1=CC2=CC=CC=C2C=C1,1
CC(=C)C(=O)OCC(F)(F)F,1
CCCC(CCC)CCCC1COCCN1CCO,1
C=CC(=O)[O-].C=CC(=O)[O-].[Mg+2],1
CC(=C)C(=O)OCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,1
F[Ti](F)(F)F,1
C[Si]C1=CC=CC=C1,1
C=CC(=O)OCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,1
C[Si]1(O[Si](O[Si](O[Si](O1)(C)C2=CC=CC=C2)(C)C)(C)C3=CC=CC=C3)C,1
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,1
CC(=C)C(=O)OCCCCCCCCCCCCOC(=O)C(=C)C,1
C=CC(=O)OCCC(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,1
CCCCCCCCOCCOCCOCCOCCOCCO,1
CC(C)(C)OC(=O)CCC(C=O)NC(=O)OCC1C2=CC=CC=C2C3=CC=CC=C13,1
CC(C)CCCCCCCCCCCCCCCOCCOCCO,1
C=CC1=CC=CC=C1S(=O)(=O)[O-].[Ca+2],1
OP(=O)(O)[O-].[K+],1
CC(=O)OC=C.C=C,1
CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O.C(=O)(O)O,1
[O-]P(=O)([O-])F.[Ca+2],1
COC1=CC(=CC2=C1OC(C2CO)C3=CC(=C(C=C3)O)OC)CCCO,1
C=C.C=CO,1
C.CCCCCCCCOCC,1
CCOC(=O)C=C.CC(=C)C(=O)OC,1
C=CCCC#CC#CC#CCCCCCCCC(=O)O,1
CCCCCCCCCCCCCCCCCC(=O)OCCOCCOCCOCCOC(=O)CCCCCCCCCCCCCCCCC,1
COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O,1
C=COS(=O)(=O)[O-].[K+],1
CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O.C1=CC(=CC=C1O)S(=O)(=O)C2=CC=C(C=C2)O,1
CC(=C)C1=C(C=CC(=C1)OCC2CO2)OCC3CO3,1
CC(=C)C.CC(=C)C=C,1
C(CC(=O)NC(CSCO)C(=O)NCC(=O)O)C(C(=O)O)N,1
CCCCOC(=O)C(C)(C)CC,1
C1CC(=O)N(C1)C(CP)P,1
CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,1
CC(COCCO)OCCO,1
CCCCOC(=O)C=C.CC(=C)C(=O)OC,1
C1=CC2=C(C=C1C(C3=CC4=C(C=C3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)C(=O)OC2=O,1
CC(=C)C(=O)OCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,1
COCCOC(=O)CCC(=O)N,1
[V].[Fe],1
OP1(=O)OP(=O)(OP(=O)(O1)O)O,1
[O-]P(=O)([O-])F,1
CCCCCCC(C)OC(=O)C(=C)C#N,1
CCCCCCCCCCCCCCCCOCCO,1
C1C2=CC(=CC(=C2O)CC3=CC(=CC(=C3O)CC4=CC(=CC(=C4O)CC5=CC(=CC(=C5O)CC6=C(C(=CC(=C6)S(=O)(=O)O)CC7=C(C(=CC(=C7)S(=O)(=O)O)CC8=C(C(=CC(=C8)S(=O)(=O)O)CC9=C(C1=CC(=C9)S(=O)(=O)O)O)O)O)O)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O,1
CCCCCCCCCCCCOCC(CO)O,1
CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)OC(=O)C(C)NC(=O)COCCOCC(=O)NC(C)C(=O)OC6(C7=C(COC6=O)C(=O)N8CC9=CC1=CC=CC=C1N=C9C8=C7)CC,1
CCCCCCCCC=CCCCCCCCCOCCO,1
C1CC(OC1)COCCO,1
CC1C(=O)OC(C(=O)O1)C.C1C(=O)OCC(=O)O1,1
CCOCCOC(=O)C(=C)C#N,1
C1=CC(=CC=C1C(=O)O)OCCCOC2=CC=C(C=C2)C(=O)O.C(CCCCC(=O)O)CCCC(=O)O,1
CCCCCCCCOCCOCCOCCO,1
COC1=C(C=CC(=C1)CC2COCC2CC3=CC(=C(C=C3)O)OC)O,1
COC1=CC=CC(=C1O)CC(CS(=O)(=O)[O-])OC2=C(C=C(C=C2)CCCS(=O)(=O)[O-])OC.[Ca+2],1
CCCCOC(=O)C(=C)C.CC(=C)C(=O)OC,1
C=COC=C.C1=CC(=O)OC1=O,1
C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl.[F-].[Na+],1
CC(=C)C(=O)O.CC(=C)C(=O)OC,1
COC1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC)CO)CO,1
CCCCOC(=O)C(=C)C.CC(=C)C(=O)OC.CC(=C)C(=O)OCCN(C)C,1
CC(=C)C(=O)OC.C=CC1=CC=CC=C1,1
CC(=C)C(=O)OC.CC(=C)C(=O)OCCOC(=O)C(=C)C,1
C1=CC(=CC=C1C(=O)C2=CC=C(C=C2)F)F.C1=CC(=CC=C1O)O,1
C(C1C(C(C(C(O1)O)O)O)O)O.C(C1C(C(C(O1)(CO)O)O)O)O,1
C=CC(=O)O.C=CCl,1
C=CC(=O)O.C=C(CC(=O)O)C(=O)O,1
CC(CO)O.C(CCC(=O)O)CC(=O)O,1
CCC(C)(C)C(=O)OCCO,1
[S-2].[S-2].[S-2].[S-2].[S-2].[S-2].[S-2].[S-2].[S-2].[S-2].[S-2].[S-2].[S-2].[S-2].[S-2].[S-2].[Fe+2].[Fe+2].[Fe+2].[Fe+2].[Fe+2].[Fe+2].[Fe+2].[Fe+2].[Fe+2].[Ni].[Ni].[Ni].[Ni].[Ni].[Ni].[Ni].[Ni].[Ni],1
C=C.C1=CC(=O)OC1=O,1
C[Si](=O)C1=CC=CC=C1,1
CCOC(=O)C=C.C=C,1
CC(COCC1C(C(C(C(O1)OC2C(OC(C(C2OCC(C)O)OCC(C)O)OCC(C)O)COCC(C)O)OCC(C)O)OCC(C)O)OCC(C)O)O,1
CC(=C)C(=O)OC.COC(=O)C=C,1
CC(=O)OCC1C(C(C(C(O1)OC2C(OC(C(C2OC(=O)C)OC(=O)C)OC(=O)C)COC(=O)C)OC(=O)C)OC(=O)C)OC3C(C(C(C(O3)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,1
CCCCCC(C=CC1=C(C(=O)CC1)CCCCCCC(=O)O)O,1
CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)C4(CC)OC(=O)CNC(=O)COCCOCC(COCCOCC(=O)NCC(=O)OC5(C6=C(COC5=O)C(=O)N7CC8=C(C9=C(C=CC(=C9)OC(=O)N3CCC(CC3)N3CCCCC3)N=C8C7=C6)CC)CC)(COCCOCC(=O)NCC(=O)OC3(C4=C(COC3=O)C(=O)N3CC5=C(C6=C(C=CC(=C6)OC(=O)N6CCC(CC6)N6CCCCC6)N=C5C3=C4)CC)CC)COCCOCC(=O)NCC(=O)OC3(C4=C(COC3=O)C(=O)N3CC5=C(C6=C(C=CC(=C6)OC(=O)N6CCC(CC6)N6CCCCC6)N=C5C3=C4)CC)CC)C2=NC2=C1C=C(C=C2)OC(=O)N1CCC(CC1)N1CCCCC1,1
CCNC(=O)NC(C)COC(=O)C=CC(=O)OC(C)C.CCN(CC)C(=O)NC(C)COC(=O)C=CC(=O)OCC.CCN(CC)C(=O)N(CC)C(C)COC(=O)C=CC(=O)OCC.CC(C)CNC(=O)NC(C)COC(=O)C=CC(=O)OC(C)C.CC(C)NC(=O)NC(C)COC(=O)C=CC(=O)OC(C)C.CC(C)OC(=O)C=CC(=O)OCC(C)NC(=O)C.CC(C)OC(=O)C=CC(=O)OCC(C)NC(=O)NC.CC(C)OC(=O)C=CC(=O)OCC(C)NC(=O)NC1CCCCC1.CC(C)OC(=O)C=CC(=O)OCC(C)NC(=O)NC(C)(C)C,1
C=CC(=O)OC(=O)C=C,1
CCCP1(=O)OP(=O)(OP(=O)(O1)CCC)CCC,1
C(COCCOCCOCCOCCN)C(=O)O,1
CCCC(C1=CC=CC=C1)NC(=O)C(=CC2=NC(=CC=C2)Br)C#N,1
CC(=C)C(=O)OCCC(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,1
C=CN1C=NC2=C(N=CN=C21)N,1
C1=CC(=CC=C1C(=O)O)OCCCCCCOC2=CC=C(C=C2)C(=O)O,1
C1CCCCOCCC1,1
CCOC(=O)C(=C(C1=CC=CC=C1)N)C#N,1
CCCCCCCCCCOC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)OCCCCCCCCCC.[Cl-].[Cl-],1
C1C(C2=CC=C(CC(C3=CC=C1C=C3)Cl)C=C2)Cl,1
CCCCCOC(=O)CC1=CC=C(C=C1)CC2=CC=C(C=C2)NC(=O)OCCCCOC(=O)NC3=CC=C(C=C3)CC4=CC=C(C=C4)NC(=O)OCCCCC,1
C[N+](C)(CC=CC[N+](CCO)(CCO)CCO)CC=CC[N+](CCO)(CCO)CCO.[Cl-].[Cl-].[Cl-],1
CC1CCC(C(C1)O)C(C)C.CC1=CC(=C(C=C1)C(C)C)O.CC1(C2CCC(O1)(CC2)C)C,1
C1=CC=C2C=C(C=CC2=C1)OCC(CO)(CO)CCl,1
C=CC(=O)[O-].C=CC(=O)[O-].C=CC(=O)[O-].[Fe+3],1
COCCOCCC=O,1
CCCCCCCCCCCCCCCCCCN(CCCN(CCO)CCO)CCO.CCCCCCCCCCCCCCCCN.F.F,1
C1CCN(CC1)CC(COC2=CC=CC=C2C(=O)CCC3=CC=CC=C3)O,1
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,1
CN(C)CC#CCN1CCCC1=O,1
CC(=C)C(=O)NCCC[N+](C)(C)C.C=CN1CCCC1=O.[Cl-],1
C(CN(CCC(=O)NCCN)CCN(CCC(=O)NCCN)CCC(=O)NCCN)C(=O)NCCN,1
CC(=O)OCC1C(C(C(C(O1)OC2C(OC(C(C2OC(=O)C)OC(=O)C)OC(=O)C)COC(=O)C)OC(=O)C)OC(=O)C)OC3C(C(C(C(O3)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,1
C#CC=CCCCCC=CC#CC#CCCCC#CC#CC(CO)O,1
C[Si](=O)CCC(F)(F)F,1
C=C.C(=C(F)Cl)(F)F,1
CC(=C)C.C1=CC(=O)OC1=O,1
[O-2].[O-2].[Zr+4],1
CCC(=O)OCC1C(C(C(C(O1)OC(=O)CC)OC(=O)CC)OC(=O)CC)OC2C(C(C(C(O2)COC(=O)CC)OC(=O)CC)OC(=O)CC)OC(=O)CC.CC(=O)OCC1C(C(C(C(O1)OC(=O)C)OC(=O)C)OC(=O)C)OC2C(C(C(C(O2)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C.C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,1
C=CC=O.C=CC(=O)O,1
CCCCCCCCC=CCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,1
C=CC=C.C=CC1=CC=CC=C1.C=CC(=O)O,1
CCCCCCCCCCCCCCCCCCC=C.C=CN1CCCC1=O,1
C=CC1=CC=CC=C1.C(=CC(=O)O)C(=O)O,1
CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,1
CCCCC(CC)COC(=O)C(=C(C1=CC=CC=C1)C2=CC=CC=C2)C#N.CC1(C2CCC1(C(=O)C2=CC3=CC=C(C=C3)C=C4C5CCC(C4=O)(C5(C)C)CS(=O)(=O)O)CS(=O)(=O)O)C.CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC,1
CC(=C)C(=O)OC.CC(=C)C(=O)OCCO,1
C=CC(=O)[O-].[Zn+2],1
CC(=C)C(=O)OC.C=CC1=CC=CC=C1C=C,1
CC=CC1=CC=C(C=C1)OC.[O-]S(=O)[O-].[Na+],1
CC(C(=O)NC(CC1=CC=CC=C1)C(=O)NCCCCC(C(=O)NCCCCC(C(=O)NCCCCC(C(=O)NCCC(=O)O)NC(=O)C(CCCCNC(=O)C(CCCCNC(=O)C(CC2=CC=CC=C2)NC(=O)C(C)NC(=O)C(CCCNC(=N)N)NC(=O)CNC(=O)C3CCCN3C(=O)CN)NC(=O)C(CC4=CC=CC=C4)NC(=O)C(C)NC(=O)C(CCCNC(=N)N)NC(=O)CNC(=O)C5CCCN5C(=O)CN)NC(=O)C(CCCCNC(=O)C(CC6=CC=CC=C6)NC(=O)C(C)NC(=O)C(CCCNC(=N)N)NC(=O)CNC(=O)C7CCCN7C(=O)CN)NC(=O)C(CC8=CC=CC=C8)NC(=O)C(C)NC(=O)C(CCCNC(=N)N)NC(=O)CNC(=O)C9CCCN9C(=O)CN)NC(=O)C(CCCCNC(=O)C(CC1=CC=CC=C1)NC(=O)C(C)NC(=O)C(CCCNC(=N)N)NC(=O)CNC(=O)C1CCCN1C(=O)CN)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(C)NC(=O)C(CCCNC(=N)N)NC(=O)CNC(=O)C1CCCN1C(=O)CN)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(C)NC(=O)C(CCCNC(=N)N)NC(=O)CNC(=O)C1CCCN1C(=O)CN)NC(=O)C(CCCNC(=N)N)NC(=O)CNC(=O)C1CCCN1C(=O)CN,1
CC(COCC1C(C(C(C(O1)OC2C(OC(C(C2OCC(C)O)OCC(C)O)OCC(C)O)COCC(C)O)OCC(C)O)OCC(C)O)OCC(C)O)O.COCC1C(C(C(C(O1)OC2C(OC(C(C2OC)OC)OC)COC)OC)OC)OC,1
C=CO.C=O,1
CCC(CC)C1=CC=C(C=C1)S(=O)(=O)O,1
